Instance,Method,Parameter,Edges in EdgesOS,EdgesOS in Edges,Edges
ulysses16,Delaunay-Tessellation,3,37.5,15.79,"{(3, 4), (3, 7), (12, 13), (0, 2), (8, 9), (9, 11), (1, 3), (13, 14), (6, 11), (6, 8), (6, 14), (7, 13), (4, 5), (5, 6), (4, 8), (4, 14), (12, 15), (0, 7), (1, 2), (11, 13), (6, 13), (7, 12), (7, 15), (4, 10), (3, 14), (5, 8), (5, 14), (0, 3), (8, 10), (9, 15), (2, 3), (2, 9), (11, 12), (11, 15), (0, 15), (2, 15), (6, 9), (7, 14)}"
ulysses16,Delaunay-NearestNeighbor,3,31.25,33.33,"{(2, 1), (6, 5), (3, 1), (12, 15), (7, 0), (12, 13), (3, 0), (11, 6), (2, 9), (8, 9), (4, 8), (4, 14), (7, 15), (13, 11), (14, 5)}"
ulysses16,Nearest-Neighbor,1,25.0,26.67,"{(1, 2), (14, 4), (6, 5), (5, 14), (7, 10), (4, 9), (3, 1), (12, 13), (11, 6), (8, 3), (9, 8), (7, 15), (15, 12), (13, 11), (10, 2)}"
ulysses16,oneTree-Modified,1,31.25,31.25,"{(0, 7), (1, 2), (3, 7), (12, 13), (8, 9), (0, 14), (1, 3), (4, 10), (13, 14), (6, 11), (8, 10), (9, 15), (11, 12), (4, 5), (5, 6), (2, 15)}"
ulysses16,Delanay-OneTree,1,18.75,18.75,"{(0, 7), (13, 14), (1, 2), (6, 11), (6, 9), (3, 7), (8, 10), (12, 13), (11, 12), (8, 9), (0, 15), (5, 6), (7, 12), (4, 14), (7, 15), (1, 3)}"
ulysses16,Nearest-Neighbor,2,31.25,20.83,"{(14, 4), (14, 1), (4, 9), (3, 1), (12, 13), (8, 3), (9, 8), (13, 5), (13, 11), (6, 5), (7, 10), (6, 8), (8, 2), (10, 2), (1, 2), (7, 3), (7, 15), (12, 11), (5, 14), (10, 4), (11, 9), (11, 6), (15, 9), (15, 12)}"
ulysses16,oneTree-Modified,2,31.25,17.86,"{(0, 7), (1, 2), (3, 7), (11, 13), (12, 13), (5, 13), (0, 2), (8, 9), (6, 13), (7, 15), (0, 14), (1, 3), (12, 14), (4, 10), (13, 14), (6, 11), (6, 8), (0, 3), (8, 10), (9, 15), (11, 12), (0, 12), (4, 5), (0, 15), (5, 6), (4, 14), (2, 15), (6, 9)}"
ulysses16,Delanay-OneTree,1,18.75,18.75,"{(0, 7), (13, 14), (1, 2), (6, 11), (6, 9), (3, 7), (8, 10), (12, 13), (11, 12), (8, 9), (0, 15), (5, 6), (7, 12), (4, 14), (7, 15), (1, 3)}"
ulysses16,Nearest-Neighbor,3,31.25,16.67,"{(14, 4), (14, 1), (4, 9), (3, 1), (12, 13), (8, 3), (9, 8), (13, 5), (13, 11), (13, 8), (13, 14), (7, 1), (6, 5), (7, 10), (6, 8), (4, 2), (5, 9), (8, 2), (10, 2), (1, 2), (7, 3), (7, 15), (12, 11), (5, 14), (10, 4), (11, 9), (11, 6), (15, 3), (15, 9), (15, 12)}"
ulysses16,oneTree-Modified,3,31.25,16.13,"{(0, 7), (1, 2), (3, 7), (11, 13), (12, 13), (5, 13), (0, 2), (8, 9), (6, 13), (7, 12), (7, 15), (0, 14), (1, 3), (12, 14), (4, 10), (13, 14), (5, 11), (6, 11), (5, 8), (6, 8), (0, 3), (8, 10), (9, 15), (11, 12), (0, 12), (4, 5), (0, 15), (5, 6), (4, 14), (2, 15), (6, 9)}"
ulysses16,Delanay-OneTree,1,18.75,18.75,"{(0, 7), (13, 14), (1, 2), (6, 11), (6, 9), (3, 7), (8, 10), (12, 13), (11, 12), (8, 9), (0, 15), (5, 6), (7, 12), (4, 14), (7, 15), (1, 3)}"
