instance,method,parameter,edges
att48,opt,,"{(1, 28), (15, 21), (30, 43), (16, 26), (19, 46), (18, 26), (6, 27), (29, 35), (35, 45), (38, 47), (3, 25), (31, 38), (0, 8), (11, 14), (10, 12), (3, 34), (28, 33), (9, 23), (8, 39), (6, 17), (9, 44), (32, 45), (7, 37), (12, 24), (20, 31), (0, 7), (10, 11), (5, 27), (20, 46), (4, 41), (4, 47), (5, 36), (14, 39), (19, 32), (2, 22), (13, 22), (33, 40), (16, 42), (15, 40), (18, 36), (29, 42), (34, 44), (23, 41), (2, 21), (30, 37), (1, 25), (17, 43), (13, 24)}"
ulysses22,opt,,"{(7, 17), (12, 13), (8, 9), (6, 11), (18, 19), (15, 20), (5, 6), (4, 14), (3, 21), (0, 7), (1, 2), (0, 13), (19, 20), (16, 21), (4, 10), (3, 17), (5, 14), (8, 10), (11, 12), (9, 18), (1, 16), (2, 15)}"
ulysses16,opt,,"{(0, 7), (4, 10), (1, 2), (6, 11), (5, 14), (0, 13), (3, 7), (12, 13), (8, 10), (9, 15), (11, 12), (8, 9), (5, 6), (4, 14), (2, 15), (1, 3)}"
berlin52,opt,,"{(16, 20), (19, 49), (9, 42), (26, 27), (0, 48), (12, 13), (18, 44), (8, 9), (15, 45), (13, 51), (22, 29), (31, 44), (1, 6), (20, 41), (17, 30), (36, 37), (12, 46), (2, 17), (32, 42), (35, 38), (10, 51), (43, 45), (4, 14), (21, 30), (25, 46), (7, 40), (18, 40), (3, 24), (6, 41), (4, 23), (36, 39), (2, 16), (37, 47), (33, 34), (1, 29), (15, 28), (33, 43), (3, 5), (10, 50), (32, 50), (38, 39), (5, 14), (34, 35), (31, 48), (0, 21), (7, 8), (23, 47), (11, 24), (19, 22), (11, 27), (25, 26), (28, 49)}"
st70,opt,,"{(21, 65), (6, 18), (56, 62), (18, 23), (13, 27), (37, 58), (47, 53), (4, 9), (50, 55), (9, 51), (24, 45), (51, 59), (20, 32), (12, 28), (26, 45), (32, 61), (38, 44), (49, 50), (48, 54), (1, 6), (31, 41), (1, 3), (43, 67), (39, 60), (62, 65), (63, 64), (5, 40), (21, 58), (0, 35), (36, 46), (8, 39), (5, 52), (11, 33), (24, 44), (7, 25), (11, 59), (10, 63), (29, 43), (10, 66), (2, 7), (28, 35), (0, 22), (19, 29), (13, 19), (53, 61), (17, 41), (2, 31), (27, 48), (55, 64), (36, 57), (12, 69), (37, 68), (34, 69), (47, 66), (15, 22), (16, 42), (25, 54), (30, 68), (14, 23), (3, 17), (40, 42), (20, 33), (15, 46), (8, 16), (49, 57), (38, 60), (26, 67), (4, 52), (30, 34), (14, 56)}"
tsp225,opt,,"{(131, 214), (163, 164), (72, 73), (211, 213), (24, 207), (67, 68), (99, 100), (44, 45), (141, 200), (164, 165), (86, 209), (159, 160), (8, 9), (40, 41), (133, 214), (196, 197), (155, 156), (100, 101), (157, 162), (26, 188), (163, 212), (137, 138), (129, 210), (96, 97), (41, 42), (201, 205), (73, 74), (18, 202), (44, 47), (133, 134), (181, 183), (14, 15), (170, 171), (190, 204), (9, 10), (74, 75), (166, 213), (106, 107), (0, 199), (111, 112), (15, 16), (192, 195), (129, 221), (42, 43), (107, 108), (104, 219), (144, 145), (38, 39), (157, 212), (140, 141), (94, 208), (30, 205), (177, 178), (71, 72), (16, 17), (136, 137), (81, 82), (25, 203), (108, 109), (156, 158), (118, 119), (1, 46), (12, 13), (77, 78), (22, 23), (216, 218), (0, 2), (104, 105), (49, 50), (169, 170), (109, 110), (120, 174), (13, 14), (80, 220), (151, 152), (75, 215), (110, 111), (55, 56), (33, 35), (105, 106), (82, 83), (76, 216), (147, 148), (142, 143), (51, 52), (188, 204), (78, 79), (143, 144), (23, 207), (138, 139), (83, 84), (115, 116), (19, 20), (26, 187), (175, 176), (79, 80), (24, 25), (56, 57), (1, 206), (167, 211), (171, 172), (116, 117), (198, 223), (142, 200), (20, 21), (52, 53), (167, 168), (112, 113), (57, 58), (89, 90), (132, 189), (149, 150), (197, 199), (132, 198), (53, 54), (130, 210), (30, 31), (145, 146), (90, 91), (32, 34), (21, 22), (191, 195), (86, 87), (114, 222), (128, 221), (113, 114), (178, 179), (123, 124), (17, 18), (27, 28), (54, 55), (47, 223), (64, 65), (134, 182), (146, 147), (194, 196), (48, 206), (43, 45), (60, 61), (5, 6), (192, 217), (87, 88), (152, 153), (97, 98), (179, 180), (28, 29), (148, 149), (215, 218), (88, 89), (85, 209), (120, 121), (185, 186), (180, 181), (84, 85), (61, 62), (126, 127), (176, 177), (121, 122), (186, 187), (153, 154), (2, 3), (122, 123), (19, 202), (117, 118), (62, 63), (94, 95), (154, 155), (58, 59), (3, 4), (35, 36), (103, 219), (150, 151), (95, 96), (127, 128), (91, 92), (36, 37), (93, 208), (68, 69), (63, 64), (183, 184), (193, 194), (160, 161), (32, 33), (165, 166), (59, 60), (4, 5), (124, 125), (69, 70), (46, 224), (101, 102), (189, 224), (161, 162), (31, 34), (48, 50), (65, 66), (10, 11), (92, 93), (37, 38), (119, 174), (102, 103), (6, 7), (184, 185), (139, 140), (29, 201), (98, 99), (135, 182), (125, 126), (70, 71), (173, 175), (190, 191), (135, 136), (115, 222), (81, 220), (130, 131), (193, 217), (39, 40), (27, 203), (172, 173), (66, 67), (49, 51), (11, 12), (76, 77), (158, 159), (168, 169), (7, 8)}"
eil51,opt,,"{(1, 28), (10, 37), (2, 27), (17, 46), (41, 43), (9, 48), (11, 45), (3, 16), (6, 42), (12, 40), (4, 36), (22, 47), (14, 43), (13, 23), (5, 47), (9, 38), (2, 35), (15, 20), (8, 48), (7, 25), (20, 28), (39, 41), (18, 40), (12, 24), (26, 50), (23, 42), (27, 30), (8, 29), (0, 31), (10, 31), (7, 21), (32, 38), (25, 30), (32, 44), (33, 49), (6, 22), (11, 46), (16, 36), (29, 33), (3, 17), (15, 49), (18, 39), (34, 35), (5, 26), (0, 21), (14, 44), (4, 37), (45, 50), (1, 19), (19, 34), (13, 24)}"
a280,opt,,"{(163, 164), (72, 73), (208, 251), (160, 174), (67, 68), (60, 117), (99, 100), (44, 45), (260, 261), (164, 165), (152, 154), (8, 9), (133, 269), (40, 41), (1, 241), (134, 268), (196, 197), (256, 257), (244, 246), (261, 262), (100, 101), (132, 133), (2, 279), (192, 193), (151, 155), (137, 138), (257, 258), (96, 97), (0, 279), (41, 42), (73, 74), (247, 248), (15, 270), (188, 189), (143, 199), (42, 59), (144, 198), (225, 226), (19, 130), (170, 171), (9, 10), (129, 130), (74, 75), (251, 254), (248, 255), (262, 263), (221, 222), (197, 200), (166, 167), (231, 232), (175, 179), (15, 16), (226, 227), (47, 48), (18, 131), (203, 204), (258, 259), (268, 269), (149, 178), (162, 163), (107, 108), (247, 277), (134, 135), (144, 145), (38, 39), (254, 255), (264, 265), (103, 104), (48, 49), (80, 81), (259, 260), (236, 237), (75, 76), (195, 196), (106, 173), (140, 141), (232, 233), (71, 72), (118, 156), (16, 17), (230, 245), (81, 82), (136, 137), (207, 252), (228, 229), (118, 119), (77, 78), (21, 25), (22, 23), (233, 234), (210, 211), (104, 105), (49, 50), (57, 63), (109, 110), (13, 14), (45, 46), (13, 23), (201, 202), (110, 111), (55, 56), (266, 267), (105, 106), (50, 51), (82, 83), (202, 203), (147, 148), (88, 108), (51, 52), (142, 143), (207, 208), (128, 153), (46, 47), (239, 240), (78, 79), (234, 235), (83, 84), (115, 116), (138, 148), (235, 236), (19, 20), (230, 231), (206, 209), (79, 80), (56, 57), (181, 182), (2, 278), (139, 265), (52, 53), (263, 264), (273, 274), (167, 168), (112, 113), (89, 90), (229, 250), (204, 205), (86, 112), (87, 111), (214, 215), (53, 54), (7, 8), (30, 31), (241, 242), (25, 26), (200, 201), (90, 91), (145, 146), (26, 27), (58, 62), (237, 238), (182, 183), (86, 87), (31, 32), (141, 142), (274, 275), (113, 114), (178, 179), (123, 124), (17, 18), (27, 28), (238, 239), (205, 206), (215, 216), (54, 55), (270, 271), (119, 120), (64, 65), (146, 147), (211, 212), (156, 157), (85, 115), (5, 6), (21, 24), (271, 272), (97, 98), (212, 213), (244, 245), (189, 190), (28, 29), (93, 94), (88, 89), (120, 121), (185, 186), (136, 266), (180, 181), (12, 14), (84, 85), (61, 117), (222, 223), (61, 62), (29, 30), (277, 278), (217, 218), (126, 127), (272, 273), (176, 177), (152, 155), (121, 122), (186, 187), (153, 154), (169, 171), (218, 219), (135, 267), (213, 214), (150, 176), (122, 123), (94, 95), (209, 210), (240, 243), (219, 220), (3, 4), (35, 36), (149, 177), (191, 192), (150, 151), (95, 96), (43, 58), (170, 172), (242, 243), (187, 188), (252, 253), (91, 92), (36, 37), (68, 69), (224, 225), (63, 64), (183, 184), (128, 129), (193, 194), (175, 180), (160, 161), (32, 33), (220, 221), (165, 166), (59, 60), (107, 109), (124, 125), (246, 249), (69, 70), (101, 102), (4, 5), (275, 276), (216, 217), (0, 1), (161, 162), (168, 169), (159, 174), (65, 66), (10, 11), (198, 199), (92, 93), (37, 38), (157, 158), (102, 103), (6, 7), (184, 185), (249, 250), (194, 195), (33, 34), (139, 140), (98, 99), (43, 44), (125, 126), (70, 71), (190, 191), (22, 24), (39, 40), (34, 35), (227, 228), (172, 173), (66, 67), (114, 116), (76, 77), (11, 12), (131, 132), (253, 256), (3, 276), (158, 159), (223, 224), (20, 127)}"
pr76,opt,,"{(32, 34), (3, 4), (58, 59), (33, 39), (35, 36), (26, 27), (16, 17), (67, 68), (12, 13), (44, 45), (21, 22), (31, 32), (8, 9), (40, 60), (66, 69), (25, 26), (40, 59), (0, 75), (17, 36), (54, 55), (55, 56), (64, 65), (41, 42), (18, 19), (4, 5), (5, 6), (51, 52), (14, 73), (60, 61), (46, 47), (14, 15), (23, 24), (9, 10), (48, 50), (1, 2), (74, 75), (10, 11), (46, 68), (37, 38), (28, 29), (23, 45), (0, 22), (6, 7), (15, 16), (27, 42), (56, 57), (20, 21), (64, 70), (63, 72), (33, 34), (35, 37), (43, 44), (18, 30), (29, 30), (51, 54), (67, 69), (41, 53), (52, 53), (61, 62), (70, 71), (38, 39), (50, 65), (43, 47), (57, 58), (71, 72), (48, 49), (20, 24), (2, 3), (11, 12), (19, 25), (13, 73), (28, 31), (62, 63), (49, 66), (1, 74), (7, 8)}"
eil101,opt,,"{(1, 86), (15, 85), (28, 67), (59, 82), (10, 61), (65, 70), (48, 63), (15, 60), (41, 42), (21, 73), (27, 52), (17, 51), (90, 99), (3, 24), (14, 42), (94, 96), (33, 77), (32, 78), (25, 27), (4, 59), (8, 50), (12, 93), (75, 76), (38, 66), (49, 75), (71, 72), (20, 72), (37, 85), (17, 82), (97, 99), (7, 44), (58, 92), (45, 46), (16, 83), (34, 64), (62, 89), (77, 80), (67, 79), (0, 68), (36, 91), (26, 68), (19, 29), (11, 25), (22, 55), (64, 70), (32, 50), (35, 46), (60, 84), (53, 54), (22, 66), (84, 90), (26, 100), (35, 48), (23, 28), (86, 96), (16, 44), (21, 40), (39, 57), (40, 74), (6, 81), (13, 41), (55, 74), (31, 89), (58, 91), (36, 97), (93, 94), (71, 73), (51, 88), (9, 61), (13, 43), (4, 83), (19, 65), (7, 45), (47, 81), (20, 39), (11, 79), (62, 63), (92, 98), (37, 43), (2, 76), (23, 53), (29, 69), (24, 54), (18, 47), (10, 18), (5, 95), (2, 78), (52, 100), (6, 87), (95, 98), (30, 69), (5, 88), (30, 87), (9, 31), (12, 57), (33, 34), (0, 49), (1, 56), (8, 80), (3, 38), (14, 56)}"
